id,nome,umidade_pct,energia_kcal,energia_kj,proteina_g,lipideos_g,colesterol_mg,carboidrato_g,fibra_g,cinzas_g,calcio_mg,magnesio_mg,cluster,perfil_nutricional,objetivo_nutricional
1,Arroz integral cozido,70.1,124.0,517.0,2.6,1.0,76.5,25.8,2.7,0.5,5.0,59.0,3,Leves / Baixa caloria,Equilibrado
3,Arroz tipo 1 cozido,69.1,128.0,537.0,2.5,0.2,76.5,28.1,1.6,0.1,4.0,2.0,3,Leves / Baixa caloria,Equilibrado
5,Arroz tipo 2 cozido,68.7,130.0,544.0,2.6,0.4,76.5,28.2,1.1,0.1,3.0,6.0,3,Leves / Baixa caloria,Equilibrado
8, Biscoito doce maisena,3.2,443.0,1853.0,8.1,12.0,76.5,75.2,2.1,1.5,54.0,37.0,1,Alta Energia/Carbo,Equilibrado
9, Biscoito doce recheado com chocolate,2.2,472.0,1974.0,6.4,19.6,76.5,70.5,3.0,1.3,27.0,48.0,1,Alta Energia/Carbo,Equilibrado
10, Biscoito doce recheado com morango,2.7,471.0,1971.0,5.7,19.6,76.5,71.0,1.5,1.0,36.0,27.0,1,Alta Energia/Carbo,Equilibrado
11, Biscoito doce wafer recheado de chocolate,1.2,502.0,2102.0,5.6,24.7,76.5,67.5,1.8,1.1,23.0,48.0,1,Alta Energia/Carbo,Equilibrado
12, Biscoito doce wafer recheado de morango,1.2,513.0,2148.0,4.5,26.4,1.0,67.4,0.8,0.6,14.0,19.0,1,Alta Energia/Carbo,Equilibrado
13, Biscoito salgado cream cracker,4.1,432.0,1806.0,10.1,14.4,76.5,68.7,2.5,2.7,20.0,40.0,1,Alta Energia/Carbo,Equilibrado
14, Bolo mistura para,1.0,419.0,1752.0,6.2,6.1,76.5,84.7,1.7,2.0,59.0,28.0,1,Alta Energia/Carbo,Equilibrado
15, Bolo pronto aipim,34.1,324.0,1355.0,4.4,12.7,73.0,47.9,0.7,0.8,85.0,10.0,1,Alta Energia/Carbo,Equilibrado
16, Bolo pronto chocolate,19.3,410.0,1715.0,6.2,18.5,77.0,54.7,1.4,1.3,75.0,28.0,1,Alta Energia/Carbo,Equilibrado
17, Bolo pronto coco,29.3,333.0,1395.0,5.7,11.3,63.0,52.3,1.1,1.4,57.0,16.0,1,Alta Energia/Carbo,Equilibrado
18, Bolo pronto milho,36.7,311.0,1303.0,4.8,12.4,82.0,45.1,0.7,1.0,83.0,10.0,1,Alta Energia/Carbo,Equilibrado
20, Canjica com leite integral,72.5,112.0,471.0,2.4,1.2,1.0,23.6,1.2,0.3,43.0,6.0,3,Leves / Baixa caloria,Equilibrado
21, Cereais milho flocos com sal,9.3,370.0,1546.0,7.3,1.6,76.5,80.8,5.3,1.0,2.0,20.0,1,Alta Energia/Carbo,Equilibrado
22, Cereais milho flocos sem sal,11.2,363.0,1520.0,6.9,1.2,76.5,80.4,1.8,0.3,2.0,17.0,1,Alta Energia/Carbo,Equilibrado
23, Cereais mingau milho infantil,4.7,394.0,1650.0,6.4,1.1,76.5,87.3,3.2,0.5,219.0,16.0,1,Alta Energia/Carbo,Equilibrado
24, Cereais mistura para vitamina trigo cevada e aveia,4.4,381.0,1595.0,8.9,2.1,76.5,81.6,5.0,3.0,584.0,72.0,1,Alta Energia/Carbo,Equilibrado
25, Cereal matinal milho,5.5,365.0,1529.0,7.2,1.0,76.5,83.8,4.1,2.5,143.0,11.0,1,Alta Energia/Carbo,Equilibrado
26, Cereal matinal milho açúcar,4.3,377.0,1576.0,4.7,0.7,76.5,88.8,2.1,1.5,56.0,8.0,1,Alta Energia/Carbo,Equilibrado
27, Creme de arroz pó,7.3,386.0,1615.0,7.0,1.2,76.5,83.9,1.1,0.5,7.0,51.0,1,Alta Energia/Carbo,Equilibrado
28, Creme de milho pó,5.7,333.0,1393.0,4.8,1.6,76.5,86.1,3.7,1.7,323.0,30.0,1,Alta Energia/Carbo,Equilibrado
29, Curau milho verde,81.6,78.0,328.0,2.4,1.6,5.0,13.9,0.5,0.5,53.0,16.0,3,Leves / Baixa caloria,Equilibrado
30, Curau milho verde mistura para,3.9,402.0,1683.0,2.2,13.4,76.5,79.8,2.5,0.7,31.0,9.0,1,Alta Energia/Carbo,Equilibrado
31, Farinha de arroz enriquecida,12.7,363.0,1519.0,1.3,0.3,76.5,85.5,0.6,0.2,1.0,4.0,1,Alta Energia/Carbo,Equilibrado
32, Farinha de centeio integral,10.8,336.0,1405.0,12.5,1.8,76.5,73.3,15.5,1.7,34.0,120.0,2,Alimentos em Fibras,Ganho de Massa Muscular
33, Farinha de milho amarela,11.8,351.0,1467.0,7.2,1.5,76.5,79.1,5.5,0.5,1.0,31.0,1,Alta Energia/Carbo,Equilibrado
34, Farinha de rosca,9.8,371.0,1550.0,11.4,1.5,76.5,75.8,4.8,1.6,35.0,57.0,1,Alta Energia/Carbo,Ganho de Massa Muscular
35, Farinha de trigo,13.0,360.0,1508.0,9.8,1.4,76.5,75.1,2.3,0.8,18.0,31.0,1,Alta Energia/Carbo,Equilibrado
36, Farinha láctea de cereais,2.7,415.0,1736.0,11.9,5.8,11.0,77.8,1.9,1.9,196.0,58.0,1,Alta Energia/Carbo,Ganho de Massa Muscular
37, Lasanha massa fresca cozida,59.6,164.0,685.0,5.8,1.2,76.5,32.5,1.6,0.9,10.0,4.0,3,Leves / Baixa caloria,Equilibrado
39, Macarrão instantâneo,6.0,436.0,1824.0,8.8,17.2,76.5,62.4,5.6,5.6,18.0,19.0,1,Alta Energia/Carbo,Equilibrado
45, Milho verde enlatado drenado,76.2,98.0,408.0,3.2,2.4,76.5,17.1,4.6,1.1,2.0,20.0,3,Leves / Baixa caloria,Diabetes
46, Mingau tradicional pó,8.1,373.0,1562.0,0.6,0.4,76.5,89.3,0.9,1.6,522.0,4.0,1,Alta Energia/Carbo,Equilibrado
47, Pamonha barra para cozimento pré-cozida,61.3,171.0,716.0,2.6,4.8,76.5,30.7,2.4,0.6,4.0,15.0,3,Leves / Baixa caloria,Equilibrado
48, Pão aveia forma,19.9,343.0,1435.0,12.4,5.7,76.5,59.6,6.0,2.5,109.0,57.0,1,Alta Energia/Carbo,Ganho de Massa Muscular
49, Pão de soja,26.0,309.0,1292.0,11.3,3.6,76.5,56.5,5.7,2.5,90.0,48.0,1,Alta Energia/Carbo,Ganho de Massa Muscular
50, Pão glúten forma,40.7,253.0,1059.0,12.0,2.7,76.5,44.1,2.5,0.5,156.0,24.0,1,Alta Energia/Carbo,Ganho de Massa Muscular
51, Pão milho forma,30.4,292.0,1222.0,8.3,3.1,6.0,56.4,4.3,1.8,78.0,29.0,1,Alta Energia/Carbo,Equilibrado
52, Pão trigo forma integral,34.7,253.0,1059.0,9.4,3.7,76.5,49.9,6.9,2.3,132.0,60.0,1,Alta Energia/Carbo,Equilibrado
53, Pão trigo francês,28.5,300.0,1254.0,8.0,3.1,76.5,58.6,2.3,1.8,16.0,25.0,1,Alta Energia/Carbo,Equilibrado
54, Pão trigo sovado,25.8,311.0,1301.0,8.4,2.8,17.0,61.5,2.4,1.5,52.0,22.0,1,Alta Energia/Carbo,Equilibrado
56, Pastel de carne frito,22.9,388.0,1625.0,10.1,20.1,25.0,43.8,1.0,3.1,13.0,14.0,1,Alta Energia/Carbo,Equilibrado
58, Pastel de queijo frito,17.5,422.0,1766.0,8.7,22.7,15.0,48.1,0.9,2.9,126.0,15.0,1,Alta Energia/Carbo,Equilibrado
60, Pastel massa frita,1.0,570.0,2384.0,6.0,40.9,76.5,49.3,1.3,2.8,11.0,13.0,1,Alta Energia/Carbo,Equilibrado
61, Pipoca com óleo de soja sem sal,2.8,448.0,1876.0,9.9,15.9,76.5,70.3,14.3,1.0,3.0,91.0,2,Alimentos em Fibras,Equilibrado
